ID,Championnat,Lien,Valeur,Pays,Continent
114,V.League 1,https://www.transfermarkt.fr/v-league-1/startseite/wettbewerb/VIE1,57020000,65,2
115,Super League,https://www.transfermarkt.fr/malaysia-super-league/startseite/wettbewerb/MYS1,53690000,66,2
116,Premier League,https://www.transfermarkt.fr/premier-league/startseite/wettbewerb/ARM1,49570000,22,1
117,Challenge League,https://www.transfermarkt.fr/challenge-league/startseite/wettbewerb/C2,49100000,4,1
118,Kategoria Superiore,https://www.transfermarkt.fr/kategoria-superiore/startseite/wettbewerb/ALB1,48810000,11,1
119,Veikkausliiga,https://www.transfermarkt.fr/veikkausliiga/startseite/wettbewerb/FI1,47980000,2,1
120,Virsliga,https://www.transfermarkt.fr/virsliga/startseite/wettbewerb/LET1,47630000,37,1
121,Indian Super League,https://www.transfermarkt.fr/indian-super-league/startseite/wettbewerb/IND1,47420000,64,2
122,Torneo Competencia,https://www.transfermarkt.fr/segunda-division-torneo-competencia/startseite/wettbewerb/UR2T,47390000,105,3
123,Segunda División,https://www.transfermarkt.fr/segunda-division-fase-regular/startseite/wettbewerb/URU2,47390000,105,3
124,Torneo DIMAYOR II,https://www.transfermarkt.fr/torneo-dimayor-ii/startseite/wettbewerb/CO22,47060000,91,3
125,Torneo DIMAYOR I,https://www.transfermarkt.fr/torneo-dimayor-i/startseite/wettbewerb/CO2T,47060000,91,3
126,A Lyga,https://www.transfermarkt.fr/a-lyga/startseite/wettbewerb/LI1,46750000,13,1
127,Premier League Opening Round,https://www.transfermarkt.fr/premier-league-opening-round/startseite/wettbewerb/MT1N,46600000,8,1
128,Segunda Federación - Gr. III,https://www.transfermarkt.fr/segunda-federacion-grupo-iii/startseite/wettbewerb/E4G3,45780000,2,1
129,Primera División Apertura,https://www.transfermarkt.fr/primera-division-apertura/startseite/wettbewerb/CRPD,44550000,92,3
130,Primera División Clausura,https://www.transfermarkt.fr/primera-division-clausura/startseite/wettbewerb/PDV1,44550000,101,3
131,League One,https://www.transfermarkt.fr/china-league-one/startseite/wettbewerb/CLO,44410000,57,2
132,Persha Liga,https://www.transfermarkt.fr/persha-liga/startseite/wettbewerb/UKR2,42340000,48,1
133,Prva liga Srbije,https://www.transfermarkt.fr/prva-liga-srbije/startseite/wettbewerb/SER2,41060000,1,1
134,Liga 2,https://www.transfermarkt.fr/liga-2/startseite/wettbewerb/PER2,41040000,107,3
135,Superliga e Kosovës,https://www.transfermarkt.fr/superliga-e-kosoves/startseite/wettbewerb/KO1,40540000,27,1
136,Prva liga,https://www.transfermarkt.fr/prva-makedonska-fudbalska-liga/startseite/wettbewerb/MAZ1,39090000,6,1
137,NB II.,https://www.transfermarkt.fr/nemzeti-bajnoksag-ii-/startseite/wettbewerb/UN2,38540000,17,1
138,Regionalliga Südwest,https://www.transfermarkt.fr/regionalliga-sudwest/startseite/wettbewerb/RLSW,38010000,34,1
139,Liga Leumit,https://www.transfermarkt.fr/liga-leumit/startseite/wettbewerb/ISR2,38000000,30,1
140,Regionalliga West,https://www.transfermarkt.fr/regionalliga-west/startseite/wettbewerb/RLW3,36960000,25,1
141,Jindal League,https://www.transfermarkt.fr/oman-jindal-league/startseite/wettbewerb/OM1L,36620000,67,2
142,Azadegan League,https://www.transfermarkt.fr/azadegan-league/startseite/wettbewerb/IRN2,35750000,58,2
143,Vtora Liga,https://www.transfermarkt.fr/vtora-liga/startseite/wettbewerb/BU2,35100000,31,1
144,Segunda Federación - Gr. IV,https://www.transfermarkt.fr/segunda-federacion-grupo-iv/startseite/wettbewerb/E4G4,34400000,50,1
145,Regionalliga Bayern,https://www.transfermarkt.fr/regionalliga-bayern/startseite/wettbewerb/RLB3,34140000,50,1
146,Erovnuli Liga,https://www.transfermarkt.fr/erovnuli-liga/startseite/wettbewerb/GE1N,33780000,27,1
